,name,price,category,image_link
0,"""Twelve Blends"" Spice Box With 12 Containers & Spoon In Sheesham Wood",1340,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-614_A_400x.jpg
1,Sheesham Wood Square Spice Box With Spoon (9 Compartments),993,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-058_A_400x.jpg
2,Sheesham Wood Square Spice Box With Spoon (9 Containers),1199,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-153_a_3_400x.jpg
3,Sheesham Wood Circular Spice Box With Floral Work (9 Compartments),3299,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/65_400x.png
4,"'Floral-Etched' Handcrafted Spice Box In Brass With Spoon (7 Containers, 100 ML)",3208,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-958_A_400x.jpg
5,"Hand Engraved Rectangular Spice Box With Spoon In Sheesham Wood (12 Partitions, 90 ML)",1384,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-753_A_400x.jpg
6,Sheesham Wood Pyramid Spice Box With Spoon (4 Containers),949,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-296_a_400x.jpg
7,"'Floral-Etched' Handcrafted Spice Box In Brass With Spoon (7 Containers, 40 ML)",3199,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/49_400x.png
8,"'Masala Blends' Handcrafted Spice Box In Brass With Spoon (7 Containers, 40 ML)",3249,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-888_A_a37d3d23-b13a-4d32-94c2-25e92b7da3fc_400x.jpg
9,'The Elephant Warriors' Hand Carved Spice Box In Sheesham Wood (7 Containers),3099,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/20_400x.png
10,"Handcrafted Hexagonal Spice Box With Spoon In Sheesham Wood (6 Containers, 45 ML)",1149,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-754_A_400x.jpg
11,"Handcrafted Hexagonal Spice Box With Spoon In Sheesham Wood (7 Partitions, 100 ML)",1299,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-755_A_1_400x.jpg
12,"Hand Engraved Square Spice Box With Spoon In Sheesham Wood (9 Partitions, 80 ML)",1199,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-752_A_400x.jpg
13,"'Rainbow Owl Motif' Spice Box With Spoon In Mango Wood (7 Detachable Containers, 70 ML)",2999,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-884_A_400x.jpg
14,"'Mystic Owl Block' Hand Carved Spice Box With Spoon In Sheesham Wood (7 Compartments, 80 ML)",3275,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-886_A_400x.jpg
15,"'The Dancing Peacock' Hand Carved Spice Box With Spoon in Sheesham Wood (7 Partitions, 120 ml each)",3365,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/91_400x.png
16,Teak Wood Bird Of Aromas Spice Box (9 Compartments),1623,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/63_400x.png
17,Sheesham Wood  Rectangular Spice Box With Hand Carving (3 Compartments),1049,spice-boxes,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-079_a_1_400x.jpg
18,'Blues Of Sky' Studio Pottery Glazed Coffee Mugs In Ceramic (Set Of 2),649,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-344_a_400x.jpg
19,"""Leaf Sips"" Hand-Painted & Handglazed Studio Pottery Coffee & Tea Mugs In Ceramic (Set of 2)",645,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-620_A_400x.jpg
20,'Cocoa Rims' Studio Pottery Tea & Coffee Mugs In Ceramic (Set Of 2),649,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-473_a_400x.jpg
21,'The Hut Jumbo Cuppas' Hand-Painted Mugs In Ceramic (Set Of 2),649,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-508_a_400x.jpg
22,"'Mint Chocolate' Hand Glazed Studio Pottery Tea & Coffee Mugs In Ceramic (Set of 2, 362 ML, Microwave Safe)",675,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/69_400x.png
23,"""Leaf Sips"" Hand-Painted & Handglazed Studio Pottery Coffee & Tea Mugs In Ceramic (Set of 2)",699,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-619_A_400x.jpg
24,"'Caramel Blues' Hand Glazed Studio Pottery Tea & Coffee Mugs In Ceramic (Set of 2, 360 ML, Microwave Safe)",725,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/67_400x.png
25,Tea-Coffee & Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),699,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-409_a_400x.jpg
26,Tea-Coffee & Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),649,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-405_a_400x.jpg
27,'Amber & Teal' Studio Pottery Tea & Coffee Mugs  In Ceramic (Set Of 2),799,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/7_400x.png
28,"'Whispers of Warli' Handcrafted Ceramic Tea & Coffee Mugs (Set of 2, 300 ML, Microwave Safe)",599,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/WhispersofWarli_HandcraftedCeramicTea_CoffeeMugs_Setof2_300ML_MicrowaveSafe__A_400x.jpg
29,'Crimson Caldera' Hand Glazed Studio Pottery Ceramic Coffee & Tea Mugs (Set Of 2),699,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-519_a_400x.jpg
30,"'Moroccan Turqouise' Hand Glazed & Embossed Coffee Mugs In Ceramic (Set Of 2, 300 ML, Microwave Safe)",599,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/MoroccanTurqouise_HandGlazed_EmbossedCoffeeMugsInCeramic_SetOf2_300ML_MicrowaveSafe__A_400x.jpg
31,Tea-Coffee & Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),599,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-408_a_400x.jpg
32,"'Earthen Turquoise' Hand Glazed Tea & Coffee Mugs In Ceramic (Set of 2, 360 ML, Microwave Safe)",699,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/LuxuryCollectionProductImages_400x.png
33,'Amber & Teal' Studio Pottery Mugs In Ceramic (Set Of 2),725,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/9_400x.png
34,'Amber & Teal' Studio Pottery Mugs in Ceramic (Set Of 2),699,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/8_400x.png
35,"""Mughal Rims"" Floral Hand-painted Tea & Coffee Mugs In Ceramic (Set of 2)",649,coffee-mugs,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-666_A_400x.jpg
36,14 Inch Pyramid Lamp In Sheesham Wood,1219,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-061-_a_400x.jpg
37,20 Inch Dhokra And Warli Handpainted Wooden Lamp Brown,3562,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-038_a_3_400x.jpg
38,10 Inch Modern Frosted Glass Lamp In Sheesham Wood,1385,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-076_a_3_400x.jpg
39,14 Inch Terracotta Handpainted Madhubani  Tappered Lamp Black,2599,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-005_a_2_400x.jpg
40,13 Inch Terracotta Handpainted Warli Matki Lamp Blue,1999,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-050_A_f8535952-3464-4a6a-b3ff-e66dcf2ce063_400x.jpg
41,'The Jute-Shade Log' Madhubani Hand-Painted Table Lamp In Wood,2177,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-155_a_400x.jpg
42,12 Inch Parrot Table Lamp In Sheesham Wood,2099,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-122_a_2_400x.jpg
43,13 Inch Terracotta Handpainted Warli Matki Lamp In Red,1949,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-107_A_400x.jpg
44,13 Inch Terracotta Handpainted Warli Matki Lamp Red,1999,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-047_A_400x.jpg
45,''Starlight'' Round Table Lamp In Mango Wood 14 inch,2096,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-194_B_400x.jpg
46,14 Inch Wooden Lamp Turqouise Blue,1380,table-lamps,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-042_a_4_400x.jpg
