,name,price,review
0,"""Twelve Blends"" Spice Box With 12 Containers &amp; Spoon In Sheesham Wood",1340,8
1,Sheesham Wood Square Spice Box With Spoon (9 Compartments),993,2
2,Sheesham Wood Square Spice Box With Spoon (9 Containers),1199,1
3,Sheesham Wood Circular Spice Box With Floral Work (9 Compartments),3299,1
4,"'Floral-Etched' Handcrafted Spice Box In Brass With Spoon (7 Containers, 100 ML)",3208,2
5,"Hand Engraved Rectangular Spice Box With Spoon In Sheesham Wood (12 Partitions, 90 ML)",1384,2
6,Sheesham Wood Pyramid Spice Box With Spoon (4 Containers),949,0
7,"'Floral-Etched' Handcrafted Spice Box In Brass With Spoon (7 Containers, 40 ML)",3199,1
8,"'Masala Blends' Handcrafted Spice Box In Brass With Spoon (7 Containers, 40 ML)",3249,2
9,'The Elephant Warriors' Hand Carved Spice Box In Sheesham Wood (7 Containers),3099,1
10,"Handcrafted Hexagonal Spice Box With Spoon In Sheesham Wood (6 Containers, 45 ML)",1149,0
11,"Handcrafted Hexagonal Spice Box With Spoon In Sheesham Wood (7 Partitions, 100 ML)",1299,1
12,"Hand Engraved Square Spice Box With Spoon In Sheesham Wood (9 Partitions, 80 ML)",1199,0
13,"'Rainbow Owl Motif' Spice Box With Spoon In Mango Wood (7 Detachable Containers, 70 ML)",2999,0
14,"'Mystic Owl Block' Hand Carved Spice Box With Spoon In Sheesham Wood (7 Compartments, 80 ML)",3275,0
15,"'The Dancing Peacock' Hand Carved Spice Box With Spoon in Sheesham Wood (7 Partitions, 120 ml each)",3365,0
16,Teak Wood Bird Of Aromas Spice Box (9 Compartments),1623,0
17,Sheesham Wood  Rectangular Spice Box With Hand Carving (3 Compartments),1049,0
18,'Blues Of Sky' Studio Pottery Glazed Coffee Mugs In Ceramic (Set Of 2),649,0
19,"""Leaf Sips"" Hand-Painted &amp; Handglazed Studio Pottery Coffee &amp; Tea Mugs In Ceramic (Set of 2)",645,3
20,'Cocoa Rims' Studio Pottery Tea &amp; Coffee Mugs In Ceramic (Set Of 2),649,0
21,'The Hut Jumbo Cuppas' Hand-Painted Mugs In Ceramic (Set Of 2),649,5
22,"'Mint Chocolate' Hand Glazed Studio Pottery Tea &amp; Coffee Mugs In Ceramic (Set of 2, 362 ML, Microwave Safe)",675,0
23,"""Leaf Sips"" Hand-Painted &amp; Handglazed Studio Pottery Coffee &amp; Tea Mugs In Ceramic (Set of 2)",699,1
24,"'Caramel Blues' Hand Glazed Studio Pottery Tea &amp; Coffee Mugs In Ceramic (Set of 2, 360 ML, Microwave Safe)",725,0
25,Tea-Coffee &amp; Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),699,1
26,Tea-Coffee &amp; Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),649,0
27,'Amber &amp; Teal' Studio Pottery Tea &amp; Coffee Mugs  In Ceramic (Set Of 2),799,0
28,"'Whispers of Warli' Handcrafted Ceramic Tea &amp; Coffee Mugs (Set of 2, 300 ML, Microwave Safe)",599,0
29,'Crimson Caldera' Hand Glazed Studio Pottery Ceramic Coffee &amp; Tea Mugs (Set Of 2),699,1
30,"'Moroccan Turqouise' Hand Glazed &amp; Embossed Coffee Mugs In Ceramic (Set Of 2, 300 ML, Microwave Safe)",599,0
31,Tea-Coffee &amp; Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),599,0
32,"'Earthen Turquoise' Hand Glazed Tea &amp; Coffee Mugs In Ceramic (Set of 2, 360 ML, Microwave Safe)",699,0
33,'Amber &amp; Teal' Studio Pottery Mugs In Ceramic (Set Of 2),725,0
34,'Amber &amp; Teal' Studio Pottery Mugs in Ceramic (Set Of 2),699,1
35,"""Mughal Rims"" Floral Hand-painted Tea &amp; Coffee Mugs In Ceramic (Set of 2)",649,0
36,14 Inch Pyramid Lamp In Sheesham Wood,1219,2
37,20 Inch Dhokra And Warli Handpainted Wooden Lamp Brown,3562,1
38,10 Inch Modern Frosted Glass Lamp In Sheesham Wood,1385,2
39,14 Inch Terracotta Handpainted Madhubani  Tappered Lamp Black,2599,0
40,13 Inch Terracotta Handpainted Warli Matki Lamp Blue,1999,0
41,'The Jute-Shade Log' Madhubani Hand-Painted Table Lamp In Wood,2177,1
42,12 Inch Parrot Table Lamp In Sheesham Wood,2099,1
43,13 Inch Terracotta Handpainted Warli Matki Lamp In Red,1949,0
44,13 Inch Terracotta Handpainted Warli Matki Lamp Red,1999,2
45,''Starlight'' Round Table Lamp In Mango Wood 14 inch,2096,2
46,14 Inch Wooden Lamp Turqouise Blue,1380,0
47,''Volta'' Round Table Lamp In Mango Wood 14 inch,1597,2
48,"Moroccan Shimmer Hand Etched Iron Table Lamp (13 Inch, Copper)",1675,0
49,14 Inch Wooden Lamp Green,1399,0
50,"Moroccan Shimmer Hand Etched Iron Table Lamp (12 Inch, White)",1599,0
51,14 Inch Pyramid Lamp In Wood,1390,0
52,'Warli In Light' Hand-Painted Pot Shaped Round Table Lamp In Terracotta,1880,0
53,''Faraday'' Round Table Lamp In Mango Wood 13 inch,1725,2
54,"'The Hut Family' Hand-Painted Ceramic Quarter Plates (7 Inch, Set Of 6)",1778,1
55,"'The Hut Couple' Hand-Painted Ceramic Dinner Plates (10 Inch, Set Of 2)",1275,2
56,"'The Hut Family' Hand-Painted Ceramic Dinner Plates (10 Inch, Set Of 6)",2956,1
57,"'The Hut Couple' Hand-Painted Ceramic Quarter Plates (7 Inch, Set Of 2)",925,0
58,'The Hut Platter Pack' Hand-Painted Ceramic Plate With Serving Bowls Set,1099,1
59,"'Moroccan Plate Family' Handpainted Plates In Ceramic (10 Inch, Set Of 6)",2299,0
60,'Earthen Turquoise' Hand Glazed Chip-N-Dip Serving Platter In Ceramic (Microwave Safe),949,0
61,"'Moroccan Platter Pair' Hand-Painted Plates In Ceramic (10 Inch, Set Of 2)",949,0
62,"'Moroccan Plate Pair' Handpainted Plates In Ceramic (10 Inch, Set Of 2)",975,0
63,"'Crimson Frisbee' Hand Glazed Studio Pottery Ceramic Dining Plates (10 Inch, Set of 2)",1299,1
64,"'Earthen Turquoise' Hand Glazed Side/Quarter Plates In Ceramic (Set of 6, Microwave Safe)",1899,1
65,"'Crimson Frisbee' Hand Glazed Studio Pottery Ceramic Quarter Plates (7 Inch, Set of 6)",2099,1
66,"'Amber &amp; Teal' Hand Glazed Studio Pottery Dinner Plates In Ceramic (Set of 6, Microwave Safe)",2999,1
67,'Moroccan Platter Pack' Handpainted Plate With Serving Bowl Set Of 2 In Ceramic,925,0
68,"'Crimson Frisbee' Hand Glazed Studio Pottery Ceramic Dining Plates (10 Inch, Set of 6)",3299,0
69,"'Indigo Chevron' Hand-painted Ceramic Dinner Plates (Set of 2, Microwave Safe)",1149,0
70,"'Earthen Turquoise' Hand Glazed Dinner Plates In Ceramic (Set of 6, Microwave Safe)",2999,0
71,"'Crimson Frisbee' Hand Glazed Studio Pottery Ceramic Quarter Plates (7 Inch, Set of 2)",786,0
72,Ceramic Gas Stove Brewing Aroma Diffuser (Studio Pottery),1335,2
73,Ceramic Oil Burner In White,899,1
74,Terracotta Handpainted Aroma Diffusor In Red,749,0
75,Ceramic Breezy Star Aroma Diffuser (Studio Pottery),825,0
76,"'Inaayat' Hand-Hammered Dhoop Dani Incense Burner (Metal, 5 Inch)",1187,2
77,'Oasis Shankh' Hand-Painted Aroma Diffuser In Terracotta (Turquoise Blue),691,0
78,'Terra Glow' Hand-Painted Aroma Diffuser In Terracotta (5 Inches),637,0
79,"'The Warli Tales' Hand-Painted Aroma Diffuser In Terracotta (5 Inch, White)",775,0
80,"'The Warli Tales' Hand-painted Aroma Diffuser In Terracotta (5 Inch, Orange)",636,0
81,"'Starry Nights' Aroma Diffuser In Iron &amp; Wood (10 Inch, Matte Black, Hand-Etched)",1649,0
82,'Owl Carved' Terracotta Aroma Diffuser,629,1
83,'The Gleaming Mughal Jali' Hand Carved Aroma Diffuser In Soapstone (4 Inch),604,0
84,'Owl Motif' Decorative Hanging Metal Wind Chime Set (2 Bells),1115,0
85,Handmade Antique Metal Bell Wind Chime With Leather Strap,999,0
86,'Triple Owl Motifs' Decorative Hanging Metal Wind Chime (6 Bells),1311,1
87,'Floret Symphonies' Hand-Painted Decorative Hanging Bells Wind Chime In Ceramic (24 Inch),1187,0
88,'Hazel Symphonies' Hand-Painted Decorative Hanging Bells Wind Chime In Ceramic (24 Inch),1099,0
89,'Blossoming Symphonies' Hand-Painted Decorative Hanging Bells Wind Chime In Ceramic (24 Inch),1019,0
90,'Floral Symphonies' Hand-Painted Decorative Hanging Bells Wind Chime In Ceramic (24 Inch),1187,0
91,'Monochrome Symphonies' Hand-Painted Decorative Hanging Bells Wind Chime In Ceramic (24 Inch),1175,0
92,'The Singing Bird' Hand-Painted Decorative Hanging Wind Chime In Wood &amp; Metal,725,1
93,'Celestial Fishes' Hand-Painted Wind Chime in Terracotta,650,0
94,'Shades of a Leaf' Hand-Painted Bird Wind Chime In Terracotta,618,0
95,‘Clinkering Songbirds’ Hand-Painted Decorative Hanging Bells Wind Chime In Metal &amp; Wood,1682,1
96,Handmade Wooden Birds Wind Chime Cum Decorative Hanging,1299,1
97,Handmade Wooden Parrots Wind Chime Cum Decorative Hanging,1299,0
98,Bird Collection Wooden Handmade Decorative Wind Chime,1049,1
99,"""Bovine Melody"" Handmade &amp; Hand-Painted Garden Decorative Hanging &amp; Wind Chime In Terracotta",699,0
100,'Breezy Chiming' Hand-Painted Decorative Hanging Bells Wind Chime In Metal,1399,0
101,Multicoloured Wooden Handmade &amp; Hand-Painted Bird Wind Chime With Kutchh Bell,890,0
102,Terracotta Warli Handpainted Pots Blue Set Of 3,718,0
103,Terracotta Warli Handpainted Pots Yellow Set Of 3,725,0
104,'Tribal Rustic Pot-Faces' In Terracotta With Jute Detailing (Set Of 2),791,1
105,Terracotta Warli Handpainted Pots Yellow Set Of 3,717,0
106,Terracotta Warli Handpainted Pots White Set Of 3,717,0
107,Terracotta Warli Handpainted Pots Natural White Set Of 3,725,0
108,Terracotta Warli Handpainted Pots White Set Of 2,849,0
